         20914 function calls (20274 primitive calls) in 0.037 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.012    0.000    0.012    0.000 {method 'recv' of '_socket.socket' objects}
      576    0.002    0.000    0.002    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      288    0.002    0.000    0.002    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      144    0.001    0.000    0.003    0.000 __init__.py:251(__init__)
      144    0.001    0.000    0.001    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
       29    0.001    0.000    0.001    0.000 encoder.py:204(iterencode)
      432    0.001    0.000    0.005    0.000 __init__.py:564(format)
      288    0.001    0.000    0.001    0.000 {built-in method time.strftime}
      288    0.001    0.000    0.001    0.000 {built-in method time.localtime}
       54    0.001    0.000    0.001    0.000 {method 'sendall' of '_socket.socket' objects}
      432    0.001    0.000    0.001    0.000 __init__.py:390(format)
 1354/714    0.001    0.000    0.001    0.000 encoder.py:333(_iterencode_dict)
      288    0.001    0.000    0.009    0.000 __init__.py:982(emit)
      288    0.001    0.000    0.003    0.000 __init__.py:971(flush)
      144    0.001    0.000    0.001    0.000 __init__.py:1376(findCaller)
      288    0.000    0.000    0.014    0.000 __init__.py:852(handle)
      144    0.000    0.000    0.004    0.000 handlers.py:177(shouldRollover)
      144    0.000    0.000    0.014    0.000 __init__.py:1500(callHandlers)
      432    0.000    0.000    0.001    0.000 __init__.py:329(getMessage)
      144    0.000    0.000    0.019    0.000 __init__.py:1421(_log)
     1066    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      144    0.000    0.000    0.000    0.000 {method 'tell' of '_io.TextIOWrapper' objects}
      576    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      432    0.000    0.000    0.001    0.000 __init__.py:542(usesTime)
      588    0.000    0.000    0.000    0.000 server.py:131(display)
      576    0.000    0.000    0.001    0.000 __init__.py:809(acquire)
      576    0.000    0.000    0.000    0.000 __init__.py:816(release)
      144    0.000    0.000    0.000    0.000 posixpath.py:144(basename)
      432    0.000    0.000    0.005    0.000 __init__.py:829(format)
      288    0.000    0.000    0.002    0.000 __init__.py:497(formatTime)
      144    0.000    0.000    0.009    0.000 handlers.py:63(emit)
      144    0.000    0.000    0.000    0.000 genericpath.py:117(_splitext)
       29    0.000    0.000    0.002    0.000 encoder.py:182(encode)
      144    0.000    0.000    0.003    0.000 __init__.py:1406(makeRecord)
      144    0.000    0.000    0.001    0.000 posixpath.py:121(splitext)
      432    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      432    0.000    0.000    0.000    0.000 __init__.py:387(usesTime)
      662    0.000    0.000    0.001    0.000 encoder.py:277(_iterencode_list)
      432    0.000    0.000    0.001    0.000 __init__.py:548(formatMessage)
       88    0.000    0.000    0.012    0.000 __init__.py:1298(info)
      144    0.000    0.000    0.015    0.000 __init__.py:1446(handle)
      714    0.000    0.000    0.001    0.000 encoder.py:412(_iterencode)
       27    0.000    0.000    0.005    0.000 server.py:69(send_json_to_player)
        1    0.000    0.000    0.001    0.001 server.py:438(__init__)
       34    0.000    0.000    0.001    0.000 server.py:552(update_game_state)
      432    0.000    0.000    0.000    0.000 __init__.py:705(filter)
      576    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      432    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       54    0.000    0.000    0.012    0.000 protocol.py:4(recvall)
       56    0.000    0.000    0.008    0.000 __init__.py:1286(debug)
      144    0.000    0.000    0.000    0.000 __init__.py:1544(isEnabledFor)
       27    0.000    0.000    0.016    0.001 server.py:82(receive_json_from_player)
      288    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      144    0.000    0.000    0.005    0.000 __init__.py:1063(emit)
        6    0.000    0.000    0.000    0.000 server.py:544(__repr__)
        8    0.000    0.000    0.009    0.001 server.py:395(move)
      144    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
      144    0.000    0.000    0.000    0.000 threading.py:1230(current_thread)
